Date,Open,High,Low,Close,Volume,Adj Close,Gold,jpyusd,gbpusd,eurusd,Crude,Earnings,Div. yield,Dividend,CALLS,PUTS,TOTAL,P/C Ratio,p/e ratio,ADX+,ADX-,ADX,EMA22,SMA200,RSI22,TR,ATR22,sentiment score
12/1/2000,1314.95,1334.67,1307.02,1315.23,1195200000,1315.23,269.8,0.8989,1.443,0.8784,32.06,67.16,1.22,21.85,0,0,0,0,19.58,0,7.24,7.24,1372.10,1437.64,27.32,27.6500,46.1491,
11/30/2000,1341.91,1341.91,1294.9,1314.95,1186530000,1314.95,270.45,0.9063,1.4259,0.8722,33.61,68.77,1.18,21.88,0,0,0,0,19.12,0,10.47,10.47,1375.55,1438.00,36.21,47.0300,24.1877,
11/29/2000,1336.09,1352.38,1329.28,1341.93,402100000,1341.93,266.95,0.8991,1.4227,0.8574,34.58,68.77,1.18,21.88,0,0,0,0,19.51,0,6.43,6.43,1379.45,1438.37,43.43,23.1000,23.8064,
11/28/2000,1348.97,1358.81,1334.97,1336.09,1028200000,1336.09,269.6,0.9084,1.4158,0.8564,34.02,68.77,1.18,21.88,0,0,0,0,19.43,0,3.69,3.69,1380.12,1438.67,47.22,23.8400,20.8714,
11/27/2000,1341.77,1362.5,1341.77,1348.97,946100000,1348.97,270,0.9038,1.416,0.8512,36.24,68.77,1.18,21.88,0,0,0,0,19.62,18.67,0,18.67,1381.90,1438.94,43.45,20.7300,21.4364,
11/24/2000,1322.36,1343.83,1322.36,1341.77,404870000,1341.77,265.95,0.8985,1.3994,0.8383,36.06,68.77,1.18,21.88,0,0,0,0,19.51,0,3.52,3.52,1383.62,1439.13,36.75,21.4700,25.2786,
11/22/2000,1347.35,1347.35,1321.89,1322.36,963200000,1322.36,266.65,0.9074,1.4067,0.844,36.06,68.77,1.18,21.88,0,0,0,0,19.23,0,8.52,8.52,1384.98,1439.50,39.21,25.4600,22.3959,
11/21/2000,1342.62,1355.87,1333.62,1347.35,1137100000,1347.35,265.85,0.9075,1.4176,0.8433,35.54,68.77,1.18,21.88,0,0,0,0,19.59,0,11.85,11.85,1389.21,1439.95,40.23,22.2500,25.8773,
11/20/2000,1367.72,1367.72,1341.67,1342.62,955800000,1342.62,266.4,0.9106,1.4225,0.8511,35.98,68.77,1.18,21.88,0,0,0,0,19.52,0,17.13,17.13,1390.71,1440.42,45.97,26.0500,29.1523,
11/17/2000,1372.32,1384.85,1355.55,1367.72,1070400000,1367.72,265.8,0.9191,1.4239,0.8487,35.62,68.77,1.18,21.88,0,0,0,0,19.89,0,9.91,9.91,1391.83,1440.83,54.83,29.3000,24.5941,
11/16/2000,1389.81,1394.76,1370.39,1372.32,956300000,1372.32,266.35,0.9176,1.4233,0.8518,34.84,68.77,1.18,21.88,0,0,0,0,19.96,0,1.2,1.20,1391.30,1441.11,52.25,24.3700,21.3536,
11/15/2000,1382.95,1395.96,1374.75,1389.81,1066800000,1389.81,264.95,0.9189,1.4267,0.857,35.54,68.77,1.18,21.88,0,0,0,0,20.21,5.9,0,5.90,1392.19,1441.37,52.69,21.2100,38.0005,
11/14/2000,1351.26,1390.06,1351.26,1382.95,1118800000,1382.95,264.55,0.9246,1.431,0.8579,34.72,68.77,1.18,21.88,0,0,0,0,20.11,24.08,0,24.08,1391.23,1441.47,52.60,38.8000,37.4255,
11/13/2000,1365.98,1365.98,1328.62,1351.26,1129300000,1351.26,264.45,0.9296,1.437,0.8592,34.3,68.77,1.18,21.88,0,0,0,0,19.65,0,34.16,34.16,1387.59,1441.60,48.42,37.3600,34.3150,
11/10/2000,1400.14,1400.14,1365.97,1365.98,962500000,1365.98,264.75,0.9267,1.4249,0.8602,34.05,68.77,1.18,21.88,0,0,0,0,19.86,0,9.14,9.14,1388.81,1441.82,52.52,34.1700,39.3532,
11/9/2000,1409.28,1409.28,1369.68,1400.14,1111000000,1400.14,265.95,0.9315,1.432,0.866,33.87,68.77,1.18,21.88,0,0,0,0,20.36,0,28,28.00,1391.23,1441.79,50.08,39.6000,29.0045,
11/8/2000,1431.87,1437.28,1408.78,1409.28,909300000,1409.28,265.05,0.9325,1.4235,0.8556,32.92,68.77,1.18,21.88,0,0,0,0,20.49,1.06,0,1.06,1391.72,1441.78,55.60,28.5000,13.6664,
11/7/2000,1432.19,1436.22,1423.26,1431.87,880900000,1431.87,264.5,0.9351,1.4345,0.8602,33.44,68.77,1.18,21.88,0,0,0,0,20.82,0,2.24,2.24,1392.74,1441.76,48.73,12.9600,11.8241,
11/6/2000,1428.76,1438.46,1427.72,1432.19,930900000,1432.19,264.95,0.9313,1.4269,0.8611,33.02,68.77,1.18,21.88,0,0,0,0,20.83,5.25,0,5.25,1392.94,1441.65,48.97,11.7700,12.2664,
11/3/2000,1428.32,1433.21,1420.92,1426.69,997700000,1426.69,265.2,0.9345,1.4484,0.8664,32.62,68.77,1.18,21.88,0,0,0,0,20.75,0,0.19,0.19,1392.77,1441.49,48.77,12.2900,12.1850,
11/2/2000,1421.22,1433.4,1421.22,1428.32,1167700000,1428.32,264.75,0.9252,1.4459,0.8593,32.59,68.77,1.18,21.88,0,0,0,0,20.77,3.8,0,3.80,1392.84,1441.57,46.32,12.1800,18.8332,
11/1/2000,1429.4,1429.6,1410.45,1421.22,1206800000,1421.22,264.8,0.9249,1.4512,0.8612,33.14,68.77,1.18,21.88,0,0,0,0,20.67,0,2.62,2.62,1392.84,1441.65,47.30,19.1500,32.9050,
10/31/2000,1398.66,1432.22,1398.66,1429.4,1366400000,1429.4,264.6,0.9178,1.448,0.849,32.7,70.47,1.17,21.92,0,0,0,0,20.28,25.86,0,25.86,1393.85,1441.83,45.75,33.5600,29.6845,
10/30/2000,1379.58,1406.36,1376.86,1398.66,1186500000,1398.66,264.35,0.9177,1.4497,0.8398,32.86,70.47,1.17,21.92,0,0,0,0,19.85,21.79,0,21.79,1393.65,1441.96,40.26,29.5000,20.8518,
10/27/2000,1364.44,1384.57,1364.13,1379.58,1086300000,1379.58,0,0.9206,1.455,0.8394,32.78,70.47,1.17,21.92,0,0,0,0,19.58,11.85,0,11.85,1393.95,1442.29,40.82,20.4400,34.2523,
10/26/2000,1364.9,1372.72,1337.81,1364.44,1303800000,1364.44,265.35,0.9232,1.436,0.8301,33.75,70.47,1.17,21.92,0,0,0,0,19.36,0,25.41,25.41,1395.24,1442.64,36.82,34.9100,35.8741,
10/25/2000,1398.13,1398.13,1362.21,1364.9,1315600000,1364.9,266.75,0.9241,1.4316,0.827,33.62,70.47,1.17,21.92,0,0,0,0,19.37,0,17.51,17.51,1398.35,1442.98,39.01,35.9200,27.8923,
10/24/2000,1395.78,1415.64,1388.13,1398.13,1158600000,1398.13,270.15,0.9287,1.4497,0.8356,34.53,70.47,1.17,21.92,0,0,0,0,19.84,8.68,0,8.68,1403.34,1443.35,43.59,27.5100,19.5873,
10/23/2000,1396.93,1406.96,1387.75,1395.78,1046800000,1395.78,270.35,0.924,1.4539,0.8352,34.9,70.47,1.17,21.92,0,0,0,0,19.81,0,1.51,1.51,1405.35,1443.64,41.04,19.2100,25.9586,
10/20/2000,1388.76,1408.47,1382.19,1396.93,1177400000,1396.93,271.55,0.9189,1.451,0.8419,34.31,70.47,1.17,21.92,0,0,0,0,19.82,18.54,0,18.54,1407.70,1443.87,40.06,26.2800,46.8218,
10/19/2000,1342.13,1389.93,1342.13,1388.76,1297900000,1388.76,270.85,0.9231,1.4459,0.8431,33.06,70.47,1.17,21.92,0,0,0,0,19.71,33.28,0,33.28,1409.95,1443.90,35.40,47.8000,50.7209,
10/18/2000,1349.97,1356.65,1305.79,1342.13,1441700000,1342.13,270.75,0.9289,1.4432,0.8388,33.51,70.47,1.17,21.92,0,0,0,0,19.05,0,24.34,24.34,1410.14,1443.97,24.42,50.8600,39.2050,
